"AC (Accession Number)","DE (Protein Name)"
"B6DCT5","U4-lycotoxin-Ls1c"
"B6DCY7","U8-lycotoxin-Ls1g"
"P83560","Delta-hexatoxin-Mg1a"
"C0HJM7","Toxin Tx1"
"B3EWU7","Short cationic peptide-4e"
"B3FIS6","U5-theraphotoxin-Hs1b 1"
"B3EWU8","Short cationic peptide-1g"
"B6DCU5","Toxin-like structure LSTX-D6"
"B3EWH0","Purotoxin-2"
"P0DMJ1","Kunitz-type U15-theraphotoxin-Hs1g"
"C9D7R2","Astacin-like metalloprotease toxin 2"
"P0C2K7","Dermonecrotic toxin LgSicTox-LOXN5"
"P61094","Mu-segestritoxin-Sf1i"
"P61504","U1-segestritoxin-Sf1a"
"B3EWT3","Toxin CSTX-18"
"B3EWW1","Short cationic peptide-4d"
"P61100","Mu-segestritoxin-Sf1f"
"Q5Y4V7","U3-agatoxin-Ao1b"
"P83608","Delta-actinopoditoxin-Mb1a"
"P60177","Mu-agatoxin-Hc1b"
"P0DMQ3","Omega-hexatoxin-Hmo1d"
"P82226","Kappa-hexatoxin-Hv1b"
"B6DCJ3","U1-lycotoxin-Ls1b"
"B3EWT6","Cupiennin-2a"
"B6DCJ7","U1-lycotoxin-Ls1b"
"W4VRV1","Toxin ICK-16"
"B6DCS3","U3-lycotoxin-Ls1k"
"P83745","Kappa-theraphotoxin-Tb1a"
"P83895","U1-ctenitoxin-Pk1a"
"P58604","U1-ctenitoxin-Cs1a"
"A0A452CSQ9","U21-hexatoxin-Hi1a"
"B3FIP2","U8-theraphotoxin-Hs1b"
"P55816","Mu-diguetoxin-Dc1b"
"P84017","U13-ctenitoxin-Pn1b"
"P85275","U8-ctenitoxin-Co1a"
"Q86C51","U5-theraphotoxin-Hs1a 1"
"P81803","U1-hexatoxin-Hv1a"
"D2Y2Q2","Kunitz-type U15-theraphotoxin-Hhn1m"
"P0DJ75","Kunitz-type U15-theraphotoxin-Hs1a"
"P83259","Delta-amaurobitoxin-Pl1d"
"P15968","Mu-agatoxin-Hc1c"
"Q5Y4W3","U2-agatoxin-Ao1y"
"B6DD06","U10-lycotoxin-Ls1d"
"Q5Y4W0","U6-agatoxin-Ao1a"
"Q5Y4Y5","U2-agatoxin-Ao1a"
"B6DCN6","U1-lycotoxin-Ls1ee"
"B6DCM8","U1-lycotoxin-Ls1w"
"P82960","U1-theraphotoxin-Hs1b"
"B6DD30","U2-lycotoxin-Ls1b"
"A0A059T2H4","DELTA-miturgitoxin-Cp2a"
"B6DD49","U15-lycotoxin-Ls1d"
"P61103","Mu-theraphotoxin-Hs1a"
"P85262","U9-ctenitoxin-Co1a"
"P83561","Beta-hexatoxin-Mg1a"
"P61791","Kappa-sparatoxin-Hv1e"
"D2Y2C2","Kunitz-type U15-theraphotoxin-Hhn1a"
"P0DM61","Astacin-like metalloprotease toxin 4"
"A5A3H5","Omega-hexatoxin-Ar1f"
"B6DCP4","U1-lycotoxin-Ls1ll"
"P29426","U5-ctenitoxin-Pn1a"
"P0DPG5","Mu-theraphotoxin-Ae1a"
"B6DD27","U13-lycotoxin-Ls1a"
"B6DCS2","U3-lycotoxin-Ls1k"
"P83620","Cupiennin-1b"
"B6DCK0","U1-lycotoxin-Ls1b"
"B3EWV3","Cupiennin-3c"
"B6DD55","U18-lycotoxin-Ls1a"
"Q86C49","U1-theraphotoxin-Hs1f"
"B6DD17","U12-lycotoxin-Ls1a"
"B6DCL7","U1-lycotoxin-Ls1n"
"B6DCW6","U7-lycotoxin-Ls1e"
"B6DCT0","U3-lycotoxin-Ls1k"
"B6DCV0","U5-lycotoxin-Ls1a"
"B6DCX8","U8-lycotoxin-Ls1t"
"B6DCZ3","U8-lycotoxin-Ls1m"
"B6DCR2","U3-lycotoxin-Ls1f"
"P49269","U1-cyrtautoxin-As1b"
"B6DCQ3","U3-lycotoxin-Ls1a"
"B6DCY2","U8-lycotoxin-Ls1b"
"C0HKG4","Toxin CpTx-4a"
"P85277","U11-ctenitoxin-Co1b"
"P86269","Purotoxin-1"
"P36989","U2-plectoxin-Pt1a"
"D2Y2F9","Kunitz-type U15-theraphotoxin-Hhn1h"
"P0DJ74","Kunitz-type serine protease inhibitor HNTX-0109076"
"Q5Y4X0","U2-agatoxin-Ao1p"
"A9XDG1","Omega-lycotoxin-Gsp2671c"
"P33034","Omega-agatoxin-Aa3a"
"S0F1N0","Omega-hexatoxin-Hi1e"
"A5A3H2","Omega-hexatoxin-Ar1c"
"P59368","Delta-ctenitoxin-Pn1a"
"P81792","Omega-ctenitoxin-Pn4a"
"B6DCZ9","U8-lycotoxin-Ls1q"
"B6DD59","Toxin-like structure LSTX-R1"
"D2Y2F5","Kunitz-type U15-theraphotoxin-Hhn1d"
"P0DP46","Pi-hexatoxin-Hi1b"
"D2Y2Q8","Kunitz-type U15-theraphotoxin-Hhn1q"
"P11060","Mu-agatoxin-Aa1d"
"Q5Y4W5","U2-agatoxin-Ao1w"
"Q5Y4W4","U2-agatoxin-Ao1x"
"Q5Y4V9","U7-agatoxin-Ao1a"
"B3EWS7","Toxin CSTX-14"
"B3EWW8","Cupiennin-6d"
"B6DCN5","U1-lycotoxin-Ls1dd"
"P84062","U5-ctenitoxin-Pk1a"
"B6DCM0","U1-lycotoxin-Ls1p"
"B6DCM7","U1-lycotoxin-Ls1v"
"P85270","U3-ctenitoxin-Co1a"
"Q8T3S6","U2-aranetoxin-Av1a"
"D2Y2B8","Hainantoxin-XV-2"
"P61104","Omega-theraphotoxin-Hs2a"
"P84034","Delta-ctenitoxin-Pn1b"
"B6DCV9","U6-lycotoxin-Ls1h"
"B6DCT2","U3-lycotoxin-Ls1s"
"P34079","Omega-plectoxin-Pt1a"
"P83902","U8-ctenitoxin-Pk1a"
"B6DCQ0","U3-lycotoxin-Ls1a"
"B6DCQ1","U3-lycotoxin-Ls1u"
"B6DCN1","U1-lycotoxin-Ls1z"
"P84014","Omega-ctenitoxin-Pr2a"
"B6DCV5","U6-lycotoxin-Ls1e"
"B6DCZ5","U8-lycotoxin-Ls1n"
"B3EWX2","Short cationic peptide-6b"
"P49268","Mu-cyrtautoxin-As1a"
"P0DJ85","Kunitz-type U15-theraphotoxin-Hs1f"
"D2Y2F8","Kunitz-type U15-theraphotoxin-Hhn1g"
"P0DJ84","Kunitz-type kappaPI-theraphotoxin-Hs1d"
"D2Y2F6","Kunitz-type U15-theraphotoxin-Hhn1e"
"P86718","Spiderine-2a"
"C0HLG0","Oxyopinin-3b"
"B3EWX3","Short cationic peptide-6c"
"P83558","Mu-hexatoxin-Mg1a"
"P0DJ77","Kunitz-type kappaPI-theraphotoxin-Hs1a"
"P68425","Kunitz-type kappaPI-theraphotoxin-Hs1a"
"Q5Y4W6","U2-agatoxin-Ao1u"
"B6DCK9","U1-lycotoxin-Ls1h"
"P82959","U1-theraphotoxin-Hs1a"
"B3FIU2","U12-theraphotoxin-Hs1a"
"B3EWV1","Cupiennin-3a"
"B6DD26","U13-lycotoxin-Ls1f"
"P36987","U1-plectoxin-Pt1e"
"P85034","U17-ctenitoxin-Co1a"
"P83894","U13-ctenitoxin-Pn1a"
"B3FIN4","U7-theraphotoxin-Hs1a"
"B6DCV1","U6-lycotoxin-Ls1a"
"B6DCN0","U1-lycotoxin-Ls1y"
"B6DCV3","U6-lycotoxin-Ls1d"
"B6DCY0","U8-lycotoxin-Ls1w"
"P81793","U6-ctenitoxin-Pn1a"
"O76200","Kappa-ctenitoxin-Pn1a"
"Q6B4T4","U1-sicaritoxin-Li1b"
"P84031","U7-ctenitoxin-Pr1a"
"D2Y2B7","Hainantoxin-XV.2"
"B6DCS6","U3-lycotoxin-Ls1o"
"B6DD01","U9-lycotoxin-Ls1a"
"P61792","Kappa-sparatoxin-Hv1d"
"B2ZBB8","Kunitz-type U15-theraphotoxin-Hs1a"
"P0DJ68","Kunitz-type U15-theraphotoxin-Hhn1k"
"B3EWN0","Beta-theraphotoxin-Pmr1a"
"P0CF15","U2-agatoxin-Ao1v"
"Q5Y4X9","U2-agatoxin-Ao1g"
"P81599","Omega-hexatoxin-Hv1f"
"P0C2L8","Kappa-hexatoxin-Hf1a"
"P83288","Omega-oxotoxin-Ot1a"
"P83622","Cupiennin-1d"
"B6DCM5","U1-lycotoxin-Ls1u"
"P58427","Kappa-sparatoxin-Hv1c"
"P0DOC5","Delta-theraphotoxin-Hm1b"
"B6DCN2","U1-lycotoxin-Ls1aa"
"P85267","U6-ctenitoxin-Co1a"
"P83905","U2-ctenitoxin-Pk1a"
"A0A0A0V662","U3-scytotoxin-Sth1a"
"B3EWT4","Toxin CSTX-19"
"P0DPG7","Beta/delta-ctenitoxin-Pr1a"
"B3EWU4","Short cationic peptide-1d"
"B3EWU2","Short cationic peptide-1b"
"P0DJ72","Kunitz-type U15-theraphotoxin-Hhn1e"
"D2Y2Q5","Kunitz-type U15-theraphotoxin-Hhn1n"
"P0DJ80","Kunitz-type U15-theraphotoxin-Hs1a"
"B6DCW3","U7-lycotoxin-Ls1d"
"B6DCY8","U8-lycotoxin-Ls1h"
"P0C2V2","U15-hexatoxin-Mg1b"
"B3EWU5","Short cationic peptide-1e"
"B3FIS0","U5-theraphotoxin-Hs1c"
"B3EWU6","Short cationic peptide-1f"
"O46168","U1-agatoxin-Ta1c"
"P61233","U5-hexatoxin-Mr1a"
"P0DJ73","Kunitz-type U15-theraphotoxin-Hhn1f"
"P0C2K8","Dermonecrotic toxin LgSicTox-LOXN6"
"A0A0G3F8Z3","Omega-phylotoxin-To1a"
"P84093","U20-ctenitoxin-Pn1a"
"B6DCJ5","U1-lycotoxin-Ls1e"
"P01478","Delta-hexatoxin-Ar1a"
"B6DCN4","U1-lycotoxin-Ls1cc"
"B3EWW9","Cupiennin-6e"
"B6DCL2","U1-lycotoxin-Ls1d"
"P83746","Kappa-theraphotoxin-Tb1b"
"B6DCK1","U1-lycotoxin-Ls1b"
"B6DD28","U13-lycotoxin-Ls1b"
"P85272","U2-ctenitoxin-Co1a"
"P84016","U6-ctenitoxin-Pr1a"
"B6DD48","U15-lycotoxin-Ls1f"
"B6DCQ8","U3-lycotoxin-Ls1c"
"B6DCW8","U7-lycotoxin-Ls1h"
"Q75WH3","U11-hexatoxin-Mg1a"
"P85268","U10-ctenitoxin-Co1b"
"P60975","Mu-theraphotoxin-Hhn1a"
"P61229","U1-ctenitoxin-Pn1a"
"B6DCY1","U20-lycotoxin-Ls1d"
"Q75WG5","Delta-hexatoxin-Mg1b"
"Q5Y4W7","U2-agatoxin-Ao1t"
"S0F215","Omega-hexatoxin-Hi1g"
"P0C2L6","Omega-hexatoxin-Hi1b"
"P83248","M-oxotoxin-Ot2a"
"B3EWW6","Cupiennin-6b"
"B3EWW7","Cupiennin-6c"
"B6DD41","U15-lycotoxin-Ls1d"
"P0DQJ3","U1-theraphotoxin-Agm1a"
"B6DCR3","U3-lycotoxin-Ls1a"
"B6DD42","U15-lycotoxin-Ls1d"
"B3EWU0","Cupiennin-2e"
"P83999","U18-ctenitoxin-Pn1a"
"B6DD15","U12-lycotoxin-Ls1c"
"P68420","U3-theraphotoxin-Hs1a"
"Q27Q53","U1-sicaritoxin-Li1c"
"P0DL48","Omega-agatoxin-Aa5a"
"B6DCZ0","U8-lycotoxin-Ls1j"
"B3FIP1","U8-theraphotoxin-Hs1a"
"B6DCS0","U3-lycotoxin-Ls1k"
"P36983","U1-plectoxin-Pt1a"
"P81790","Omega-ctenitoxin-Pn3a"
"P58605","Omega-segestritoxin-Sf1a"
"B3EWY4","U1-theraphotoxin-Ap1a"
"D2Y2G2","Kunitz-type U15-theraphotoxin-Hhn1k"
"P0DJ66","Kunitz-type serine protease inhibitor HNTX-03141017"
"A0FKN6","Astacin-like metalloprotease toxin 1"
"P0DJ78","Kunitz-type U15-theraphotoxin-Hs1a"
"P61097","Mu-segestritoxin-Sf1c"
"Q5Y4U7","Mu-agatoxin-Ao1a"
"A9XDG2","Omega-lycotoxin-Gsp2671d"
"P15970","Omega-agatoxin-Aa1b"
"P0C8M0","Omega-oxotoxin-Ol1a"
"B6DCK5","U1-lycotoxin-Ls1b"
"B6DD02","U10-lycotoxin-Ls1a"
"B6DD20","U13-lycotoxin-Ls1c"
"P83903","U1-ctenitoxin-Pr1a"
"P83911","Omega-ctenitoxin-Pr1a"
"B3EWX1","Cupiennin-6f"
"B6DCL4","U1-lycotoxin-Ls1c"
"B6DD14","U12-lycotoxin-Ls1b"
"W4VSB2","Toxin ICK-19"
"B3EWT0","Toxin CSTX-10"
"B6DCT1","U3-lycotoxin-Ls1r"
"P85266","U1-ctenitoxin-Co1a"
"B3EWT2","Toxin CSTX-17"
"P29425","Delta-ctenitoxin-Pn2a"
"B6DD50","U15-lycotoxin-Ls1g"
"B6DCV4","U6-lycotoxin-Ls1d"
"A0A0A0VBR5","U3-scytotoxin-Sth1h"
"B6DD61","U20-lycotoxin-Ls1b"
"B6DD00","U8-lycotoxin-Ls1m"
"D2Y2Q9","Kunitz-type U15-theraphotoxin-Hhn1r"
"P86719","Spiderine-2b"
"P83250","M-oxotoxin-Ot2c"
"B6DCJ4","U1-lycotoxin-Ls1b"
"P83247","M-oxotoxin-Ot1a"
"B3EWS9","Toxin CSTX-16"
"B6DD29","U2-lycotoxin-Ls1a"
"B6DD44","U15-lycotoxin-Ls1b"
"B6DD46","U15-lycotoxin-Ls1d"
"C0JB89","Dermonecrotic toxin SdSicTox-betaIIB2i"
"P0CAZ7","M-zodatoxin-Lt8o"
"C0JAS4","Dermonecrotic toxin LhSicTox-alphaIA2bvi"
"Q8I913","Dermonecrotic toxin LlSicTox-alphaIII3i"
"C0JB08","Dermonecrotic toxin LarSicTox-alphaII1"
"C0JB11","Dermonecrotic toxin Ls4SicTox-alphaIII1ii"
"C0JAZ9","Dermonecrotic toxin LamSicTox-alphaIC1"
"C0JB39","Dermonecrotic toxin StSicTox-betaIC1"
"C0JB44","Dermonecrotic toxin LspiSicTox-betaIE3i"
"P83257","Delta-amaurobitoxin-Pl1b"
"P81744","Omega-agatoxin-Aa3b"
"A5A3H4","Omega-hexatoxin-Ar1e"
"P83251","M-oxotoxin-Ot2d"
"Q5Y4W1","U5-agatoxin-Ao1a"
"Q9BJV9","Omega-hexatoxin-Hi2a"
"B6DD22","U13-lycotoxin-Ls1a"
"B3EWV6","Cupiennin-4a"
"P85263","U13-ctenitoxin-Co1a"
"B6DD62","U20-lycotoxin-Ls1c"
"P83562","U7-hexatoxin-Mg1a"
"Q75WH6","U8-hexatoxin-Mg1a"
"B3EWX0","Short cationic peptide-6a"
"O46167","U1-agatoxin-Ta1b"
"B6DCU8","Toxin-like structure LSTX-D9"
"Q9BJV7","Omega-hexatoxin-Asp2b"
"F8J4S0","Oxyopinin-4a"
"B6DD09","U11-lycotoxin-Ls1c"
"W4VS32","Toxin ICK-15"
"B6DCP1","U1-lycotoxin-Ls1jj"
"B6DD45","U15-lycotoxin-Ls1c"
"B6DCP6","U3-lycotoxin-Ls1w"
"P58426","Kappa-sparatoxin-Hv1b"
"P84000","U10-ctenitoxin-Pr1a"
"B6DCX5","U8-lycotoxin-Ls1u"
"B6DCK4","U1-lycotoxin-Ls1b"
"P59367","GAMMA-ctenitoxin-Pn1a"
"B6DCX1","U7-lycotoxin-Ls1c"
"P83998","U14-ctenitoxin-Pn1a"
"W4VSI5","Toxin ICK-23"
"P84028","Delta-ctenitoxin-Asp2e"
"P30288","Omega-agatoxin-Aa4a"
"B6DCY6","U8-lycotoxin-Ls1f"
"P86418","Neurotoxin PRTx26An0C3"
"B6DCZ7","U8-lycotoxin-Ls1p"
"B6DCU1","Toxin-like structure LSTX-D2"
"B6DCU7","Toxin-like structure LSTX-D8"
"B2ZBB6","Kunitz-type kappaPI-theraphotoxin-Hs1b"
"P0DJ82","Kunitz-type kappaPI-theraphotoxin-Hs1c"
"D2Y2F3","Kunitz-type U15-theraphotoxin-Hhn1b"
"P0DJ81","Kunitz-type U15-theraphotoxin-Hs1e"
"Q5Y4X2","U2-agatoxin-Ao1n"
"A9XDG4","Omega-lycotoxin-Gsp2671f"
"S0F209","Omega/Kappa-hexatoxin-Hv1h"
"S0F1P1","Kappa-hexatoxin-Hv1d"
"B6DD21","U13-lycotoxin-Ls1a"
"P36986","U1-plectoxin-Pt1d"
"B6DCK3","U1-lycotoxin-Ls1b"
"W5U5X5","DELTA-miturgitoxin-Cp3a"
"C0HJK5","Mu-thomitoxin-Hme1c"
"B3FIS2","U5-theraphotoxin-Hs1a 3"
"B6DD57","U19-lycotoxin-Ls1a"
"B3EWW2","Short cationic peptide-4f"
"D2Y2Q6","Kunitz-type U15-theraphotoxin-Hhn1o"
"B2ZBC0","Kunitz-type U15-theraphotoxin-Hs1c"
"P0DJ65","Kunitz-type U15-theraphotoxin-Hhn1h"
"Q5Y4V8","U3-agatoxin-Ao1a"
"P0C2L7","Omega-hexatoxin-Hi1c"
"P83249","M-oxotoxin-Ot2b"
"B6DD07","U11-lycotoxin-Ls1b"
"B3EWS8","Toxin CSTX-15"
"B6DD34","U14-lycotoxin-Ls1a"
"B6DCM1","U1-lycotoxin-Ls1q"
"B3EWS5","Toxin CSTX-8"
"B6DD52","U16-lycotoxin-Ls1a"
"B6DCW9","U7-lycotoxin-Ls1c"
"D2Y2D9","Hainantoxin-XV-5"
"B6DD54","U17-lycotoxin-Ls1a"
"B6DCW0","U6-lycotoxin-Ls1b"
"B6DCY3","U8-lycotoxin-Ls1c"
"O76199","Delta-ctenitoxin-Pn2c"
"B6DD60","U20-lycotoxin-Ls1a"
"B6DCW5","U7-lycotoxin-Ls1f"
"B3FIS3","U5-theraphotoxin-Hs1a 4"
"B3EWW0","Short cationic peptide-4c"
"D2Y2G0","Kunitz-type U15-theraphotoxin-Hhn1i"
"P0DJ79","Kunitz-type U15-theraphotoxin-Hs1d"
"P11061","Mu-agatoxin-Aa1e"
"B3EWS6","Toxin CSTX-12"
"C0HLF6","M-oxotoxin-Ot1c"
"B6DD35","U14-lycotoxin-Ls1a"
"B6DCL9","U1-lycotoxin-Ls1o"
"B6DCM2","U1-lycotoxin-Ls1r"
"B6DCV8","U6-lycotoxin-Ls1g"
"W4VSI6","Toxin ICK-18"
"B6DCQ6","U3-lycotoxin-Ls1a"
"B6DCM4","U1-lycotoxin-Ls1t"
"B6DCQ7","U3-lycotoxin-Ls1b"
"Q5Y4U4","U8-agatoxin-Ao1a"
"B6DCT6","U4-lycotoxin-Ls1a"
"D2Y2G1","Kunitz-type U15-theraphotoxin-Hhn1j"
"P0DM62","Astacin-like metalloprotease toxin 5"
"P86717","Spiderine-1b"
"Q5Y4U9","U3-agatoxin-Ao1j"
"Q5Y4Y4","U2-agatoxin-Ao1b"
"B6DCK8","U1-lycotoxin-Ls1g"
"B6DCN8","U1-lycotoxin-Ls1gg"
"B6DCK2","U1-lycotoxin-Ls1b"
"Q5Y4U2","U10-agatoxin-Ao1a"
"B3EWU9","Cupiennin-5a"
"P60993","Kappa-theraphotoxin-Hm2a"
"B3FIS5","U5-theraphotoxin-Hs1a 6"
"P36990","U3-plectoxin-Pt1a"
"P0DJ67","Kunitz-type U15-theraphotoxin-Hhn1c"
"P0DQJ5","U1-theraphotoxin-Agm3a"
"Q5Y4V1","U3-agatoxin-Ao1h"
"Q5Y4X4","U2-agatoxin-Ao1l"
"Q5Y4X1","U2-agatoxin-Ao1o"
"Q5Y4V6","U3-agatoxin-Ao1c"
"A9XDG0","Omega-lycotoxin-Gsp2671b"
"P0DMQ2","Omega-hexatoxin-Hmo1c"
"P81597","Omega-hexatoxin-Hv1d"
"B6DCV6","U6-lycotoxin-Ls1f"
"B6DCR9","U3-lycotoxin-Ls1j"
"B6DCN3","U1-lycotoxin-Ls1bb"
"B6DCT3","U4-lycotoxin-Ls1a"
"B6DCW1","U7-lycotoxin-Ls1a"
"B6DCZ8","U8-lycotoxin-Ls1m"
"B3EWV8","Short cationic peptide-4a"
"P61232","Beta-hexatoxin-Mr1a"
"B6DD10","U11-lycotoxin-Ls1d"
"P0DJ70","Kunitz-type U15-theraphotoxin-Hhn1a"
"P0CH75","Kunitz-type serine protease inhibitor hainantoxin F7-25.66"
"Q5Y4Y1","U2-agatoxin-Ao1e"
"P0DMQ0","Omega-hexatoxin-Hmo1a"
"P56207","Omega-hexatoxin-Hv1a"
"Q9BJV8","Omega-hexatoxin-Asp2a"
"B3A0P0","Mu-theraphotoxin-An1a"
"B6DD12","U11-lycotoxin-Ls1a"
"P0C2S6","U9-ctenitoxin-Pn1a"
"B6DD36","U14-lycotoxin-Ls1b"
"P49272","U1-cyrtautoxin-As1d"
"B3EWT8","Cupiennin-2c"
"B3EWW4","Cupiennin-7b"
"P85264","U15-ctenitoxin-Co1a"
"B6DD40","U15-lycotoxin-Ls1f"
"Q6B4T5","U1-sicaritoxin-Li1a"
"B6DD53","U16-lycotoxin-Ls1b"
"B3FIS4","U5-theraphotoxin-Hs1a 5"
"B6DCU4","Toxin-like structure LSTX-D5"
"Q5Y4U8","U3-agatoxin-Ao1k"
"P0CF14","U2-agatoxin-Ao1s"
"P15969","Omega-agatoxin-1A"
"P0DMQ1","Omega-hexatoxin-Hmo1b"
"B6DCJ0","U1-lycotoxin-Ls1b"
"B6DD39","U14-lycotoxin-Ls1c"
"B6DD16","U12-lycotoxin-Ls1d"
"P29423","U2-ctenitoxin-Pn1a"
"P85271","U4-ctenitoxin-Co1b"
"B6DCP7","U3-lycotoxin-Ls1x"
"P61789","Omega-sparatoxin-Hv1a"
"B6DCZ1","U8-lycotoxin-Ls1k"
"P68426","U6-theraphotoxin-Hs1a"
"B6DD58","U19-lycotoxin-Ls1b"
"P49271","U3-cyrtautoxin-As1a"
"B6DCU9","Toxin-like structure LSTX-D10"
"P0DJ64","U15-Kunitz-type theraphotoxin-Hhn1b"
"P61099","Mu-segestritoxin-Sf1e"
"P11057","Mu-agatoxin-Aa1a"
"W4VSI7","Toxin ICK-13"
"B6DD24","U13-lycotoxin-Ls1e"
"P36988","U1-plectoxin-Pt1f"
"P85033","U4-ctenitoxin-Co1a"
"P84063","U5-ctenitoxin-Pk1b"
"B6DCQ2","U3-lycotoxin-Ls1v"
"B6DCT4","U4-lycotoxin-Ls1b"
"P61098","Mu-segestritoxin-Sf1d"
"Q5Y4V3","U3-agatoxin-Ao1f"
"Q5Y4W2","U2-agatoxin-Ao1z"
"Q5Y4Y0","U2-agatoxin-Ao1f"
"P83303","Huwentoxin-IV"
"B6DCS1","U3-lycotoxin-Ls1l"
"P58425","Kappa-sparatoxin-Hv1a"
"B6DCQ5","U3-lycotoxin-Ls1a"
"P31010","U7-ctenitoxin-Pn1b"
"B6DCM3","U1-lycotoxin-Ls1s"
"B6DCW7","U7-lycotoxin-Ls1g"
"D2Y2B9","Hainantoxin-XV-3"
"B6DCZ6","U8-lycotoxin-Ls1o"
"Q75WH2","U12-hexatoxin-Mg1a"
"B6DCT7","U4-lycotoxin-Ls1d"
"B3EWV5","Short cationic peptide-3a"
"B3EWV9","Short cationic peptide-4b"
"B3EWU3","Short cationic peptide-1c"
"B6DCU6","Toxin-like structure LSTX-D7"
"P85975","Zinc metalloproteinase partitagin"
"C0HLF9","Oxyopinin-3a"
"B6DD03","U10-lycotoxin-Ls1c"
"B6DD04","U10-lycotoxin-Ls1a"
"Q5Y4U5","U4-agatoxin-Ao1a"
"P83619","Cupiennin-1a"
"B6DCJ9","U1-lycotoxin-Ls1a"
"B6DCL3","U1-lycotoxin-Ls1k"
"B6DD38","U14-lycotoxin-Ls1a"
"B6DCS9","U3-lycotoxin-Ls1q"
"P68421","U1-theraphotoxin-Hs1a"
"B6DCP3","U1-lycotoxin-Ls1kk"
"B6DD18","U12-lycotoxin-Ls1e"
"B6DCR5","U3-lycotoxin-Ls1a"
"P68423","U4-theraphotoxin-Hs1a"
"Q8MTX1","U3-aranetoxin-Ce1a"
"P83559","Mu-hexatoxin-Mg2a"
"B6DCR6","U3-lycotoxin-Ls1g"
"C0HKD0","Pi-theraphotoxin-Hm3a"
"P83909","U2-ctenitoxin-Pr1a"
"B6DCX9","U8-lycotoxin-Ls1s"
"B6DCU0","Toxin-like structure LSTX-D1"
"Q75WH1","Mu-hexatoxin-Mg1c"
"P0DJ69","Kunitz-type serine protease inhibitor HNTX-852"
"P0DJ76","Kunitz-type kappaPI-theraphotoxin-Hs1e"
"D2Y2F7","Kunitz-type U15-theraphotoxin-Hhn1f"
"P81746","Omega-agatoxin-Aa3d"
"S0F1N7","Omega-hexatoxin-Hvn1b"
"P82227","Kappa-hexatoxin-Hv1a"
"P84756","Omega-oxotoxin-Ol1b"
"B6DD19","U13-lycotoxin-Ls1a"
"B6DCL0","U1-lycotoxin-Ls1i"
"B6DD51","U15-lycotoxin-Ls1h"
"A0A1L1QJU3","Pi-hexatoxin-Hi1a"
